id,title,description,availability,condition,price,link,image_link,brand,additional_image_link,age_group,color,gender,item_group_id,google_product_category,material,pattern,product_type,sale_price,sale_price_effective_date,shipping,shipping_weight,size,custom_label_0,custom_label_1,custom_label_2,custom_label_3,custom_label_4
056-104-DON-LAN2-Y102403,"Sơn dưỡng móng YVES ROCHER MANICURE SOS RESISTANT BASE COAT 5ML -Y102403","<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Sơn dưỡng móng YVES ROCHER MANICURE SOS RESISTANT BASE COAT 5ML, với nhiều màu sắc và độ bao phủ cao, công thức chiết xuất từ nhựa Elemi, bao phủ và nuôi dưỡng móng tay của bạn, đồng thời cho màu sắc sáng bóng. Đầu chải phẳng độc quyền giúp bạn dễ dàng sử dụng, độ chính xác cao cho lớp sơn móng hoàn hảo, thanh lịch.","in stock",new,"219000 VND",http://vstyle.vn/son-duong-mong-yves-rocher-manicure-sos-resistant-base-coat-5mly102403.html,http://core.vstyle.vn/public/themes/vstyle/products/B1647.jpg,"YVES ROCHER",,adult,,female,,"Apparel & Accessories",,,,"153300 VND",,,,,,,,,
056-104-DON-LAN2-Y102426,"Sơn móng YVES ROCHER GEL EFFECT LACQUER 5ML -Y102426","<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Sơn móng YVES ROCHER GEL EFFECT LACQUER  5ML, kết cấu dạng gel giúp tăng độ sáng bóng vượt trội & khả năng lưu giữ màu sắc luôn tươi mới suốt 7 ngày. Công thức được thử nghiệm dưới sự giám sát chuyên gia da liễu, không chứa cồn và paraben, an toàn khi sử dụng.","in stock",new,"189000 VND",http://vstyle.vn/son-mong-yves-rocher-gel-effect-lacquer-5mly102426.html,http://core.vstyle.vn/public/themes/vstyle/products/B1645.jpg,"YVES ROCHER",,adult,,female,,"Apparel & Accessories",,,,"132300 VND",,,,,,,,,
056-104-DON-LAN2-Y102422,"Sơn móng YVES ROCHER LAQUE GEL BORDEAUX EXQUIS 46 5ML -Y102422","<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Sơn móng YVES ROCHER LAQUE GEL BORDEAUX EXQUIS 46 5ML, kết cấu dạng gel giúp tăng độ sáng bóng vượt trội & khả năng lưu giữ màu sắc luôn tươi mới suốt 7 ngày. Công thức được thử nghiệm dưới sự giám sát chuyên gia da liễu, không chứa cồn và paraben, an toàn khi sử dụng.","in stock",new,"189000 VND",http://vstyle.vn/son-mong-yves-rocher-laque-gel-bordeaux-exquis-46-5mly102422.html,http://core.vstyle.vn/public/themes/vstyle/products/B1646.jpg,"YVES ROCHER",,adult,,female,,"Apparel & Accessories",,,,"132300 VND",,,,,,,,,
056-104-DON-LAN2-Y118793,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G NACRE BLEU PENSEE -Y118793","<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G NACRE BLEU PENSEE với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","in stock",new,"209000 VND",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-nacre-bleu-penseey118793.html,http://core.vstyle.vn/public/themes/vstyle/products/B1634.jpg,"YVES ROCHER",,adult,,female,,"Apparel & Accessories",,,,"146300 VND",,,,,,,,,
056-104-DON-LAN2-Y118779,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G NACRE MENTHE -Y118779","<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>

Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G NACRE MENTHE với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","in stock",new,"209000 VND",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-nacre-menthey118779.html,http://core.vstyle.vn/public/themes/vstyle/products/B1589.jpg,"YVES ROCHER",,adult,,female,,"Apparel & Accessories",,,,"146300 VND",,,,,,,,,
056-104-DON-LAN2-Y118803,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G SCINTILLANT BLANC ORCHIDÉE -Y118803","<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>

Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G SCINTILLANT BLANC ORCHIDÉE với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","in stock",new,"209000 VND",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-scintillant-blanc-orchideey118803.html,http://core.vstyle.vn/public/themes/vstyle/products/B1590.jpg,"YVES ROCHER",,adult,,female,,"Apparel & Accessories",,,,"146300 VND",,,,,,,,,
056-104-DON-LAN2-Y118742,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G NACRE BRUN CACAO  -Y118742","<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G NACRE BRUN CACAO với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","in stock",new,"209000 VND",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-nacre-brun-cacao-y118742.html,http://core.vstyle.vn/public/themes/vstyle/products/B1632.jpg,"YVES ROCHER",,adult,,female,,"Apparel & Accessories",,,,"146300 VND",,,,,,,,,
056-104-DON-LAN2-Y118744,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G NACRE BRUN ACAJOU  -Y118744","<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G NACRE BRUN ACAJOU với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","in stock",new,"209000 VND",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-nacre-brun-acajou-y118744.html,http://core.vstyle.vn/public/themes/vstyle/products/B1633.jpg,"YVES ROCHER",,adult,,female,,"Apparel & Accessories",,,,"146300 VND",,,,,,,,,
056-104-DON-LAN2-Y118791,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G MAT NOIR EBÈNE -Y118791","<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G MAT NOIR EBÈNE với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","in stock",new,"209000 VND",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-mat-noir-ebeney118791.html,http://core.vstyle.vn/public/themes/vstyle/products/B1630.jpg,"YVES ROCHER",,adult,,female,,"Apparel & Accessories",,,,"146300 VND",,,,,,,,,
056-104-DON-LAN2-Y118800,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G SCINTILLANT ROSE PIVOINE -Y118800","<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G SCINTILLANT ROSE PIVOINE với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","in stock",new,"209000 VND",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-scintillant-rose-pivoiney118800.html,http://core.vstyle.vn/public/themes/vstyle/products/B1631.jpg,"YVES ROCHER",,adult,,female,,"Apparel & Accessories",,,,"146300 VND",,,,,,,,,
