ID,ID2,"Item title","Final URL","Image URL","Item subtitle","Item description","Item category",Price,"Sale price","Contextual keywords","Item address","Tracking template","Custom parameter","Final mobile URL"
1,056-104-DON-LAN2-Y102403,"Sơn dưỡng móng YVES ROCHER MANICURE SOS RESISTANT BASE COAT 5ML -Y102403",http://vstyle.vn/son-duong-mong-yves-rocher-manicure-sos-resistant-base-coat-5mly102403.html,http://core.vstyle.vn/public/themes/vstyle/products/B1647.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Sơn dưỡng móng YVES ROCHER MANICURE SOS RESISTANT BASE COAT 5ML, với nhiều màu sắc và độ bao phủ cao, công thức chiết xuất từ nhựa Elemi, bao phủ và nuôi dưỡng móng tay của bạn, đồng thời cho màu sắc sáng bóng. Đầu chải phẳng độc quyền giúp bạn dễ dàng sử dụng, độ chính xác cao cho lớp sơn móng hoàn hảo, thanh lịch.","Apparel & Accessories","219000 VND","153300 VND",,,,
2,056-104-DON-LAN2-Y102426,"Sơn móng YVES ROCHER GEL EFFECT LACQUER 5ML -Y102426",http://vstyle.vn/son-mong-yves-rocher-gel-effect-lacquer-5mly102426.html,http://core.vstyle.vn/public/themes/vstyle/products/B1645.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Sơn móng YVES ROCHER GEL EFFECT LACQUER  5ML, kết cấu dạng gel giúp tăng độ sáng bóng vượt trội & khả năng lưu giữ màu sắc luôn tươi mới suốt 7 ngày. Công thức được thử nghiệm dưới sự giám sát chuyên gia da liễu, không chứa cồn và paraben, an toàn khi sử dụng.","Apparel & Accessories","189000 VND","132300 VND",,,,
3,056-104-DON-LAN2-Y102422,"Sơn móng YVES ROCHER LAQUE GEL BORDEAUX EXQUIS 46 5ML -Y102422",http://vstyle.vn/son-mong-yves-rocher-laque-gel-bordeaux-exquis-46-5mly102422.html,http://core.vstyle.vn/public/themes/vstyle/products/B1646.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Sơn móng YVES ROCHER LAQUE GEL BORDEAUX EXQUIS 46 5ML, kết cấu dạng gel giúp tăng độ sáng bóng vượt trội & khả năng lưu giữ màu sắc luôn tươi mới suốt 7 ngày. Công thức được thử nghiệm dưới sự giám sát chuyên gia da liễu, không chứa cồn và paraben, an toàn khi sử dụng.","Apparel & Accessories","189000 VND","132300 VND",,,,
4,056-104-DON-LAN2-Y118793,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G NACRE BLEU PENSEE -Y118793",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-nacre-bleu-penseey118793.html,http://core.vstyle.vn/public/themes/vstyle/products/B1634.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G NACRE BLEU PENSEE với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","Apparel & Accessories","209000 VND","146300 VND",,,,
5,056-104-DON-LAN2-Y118779,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G NACRE MENTHE -Y118779",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-nacre-menthey118779.html,http://core.vstyle.vn/public/themes/vstyle/products/B1589.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>

Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G NACRE MENTHE với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","Apparel & Accessories","209000 VND","146300 VND",,,,
6,056-104-DON-LAN2-Y118803,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G SCINTILLANT BLANC ORCHIDÉE -Y118803",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-scintillant-blanc-orchideey118803.html,http://core.vstyle.vn/public/themes/vstyle/products/B1590.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>

Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G SCINTILLANT BLANC ORCHIDÉE với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","Apparel & Accessories","209000 VND","146300 VND",,,,
7,056-104-DON-LAN2-Y118742,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G NACRE BRUN CACAO  -Y118742",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-nacre-brun-cacao-y118742.html,http://core.vstyle.vn/public/themes/vstyle/products/B1632.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G NACRE BRUN CACAO với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","Apparel & Accessories","209000 VND","146300 VND",,,,
8,056-104-DON-LAN2-Y118744,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G NACRE BRUN ACAJOU  -Y118744",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-nacre-brun-acajou-y118744.html,http://core.vstyle.vn/public/themes/vstyle/products/B1633.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G NACRE BRUN ACAJOU với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","Apparel & Accessories","209000 VND","146300 VND",,,,
9,056-104-DON-LAN2-Y118791,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G MAT NOIR EBÈNE -Y118791",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-mat-noir-ebeney118791.html,http://core.vstyle.vn/public/themes/vstyle/products/B1630.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G MAT NOIR EBÈNE với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","Apparel & Accessories","209000 VND","146300 VND",,,,
10,056-104-DON-LAN2-Y118800,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G SCINTILLANT ROSE PIVOINE -Y118800",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-scintillant-rose-pivoiney118800.html,http://core.vstyle.vn/public/themes/vstyle/products/B1631.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G SCINTILLANT ROSE PIVOINE với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","Apparel & Accessories","209000 VND","146300 VND",,,,
11,056-104-DON-LAN2-Y118749,"Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2.5G NACRÉ ROSE DAHLIA -Y118749",http://vstyle.vn/phan-mat-don-yves-rocher-botanical-color-mono-eyeshadow-25g-nacre-rose-dahliay118749.html,http://core.vstyle.vn/public/themes/vstyle/products/B1629.jpg,,"<p><strong>QUÀ TẶNG GIỚI HẠN TỪ YVESROCHER: </strong></p>
<p>1. ĐƠN HÀNG 600K TẶNG: Nước Rửa Móng Yves Rocher Manucure Nail Polish Remover Gentle & Effective (100ml) TRỊ GIÁ 159K</p>
<p>2. ĐƠN HÀNG 900K TẶNG: Gel rửa mặt Yves Rocher Mini Hydra Cleansing Gel 30ml TRỊ GIÁ 185K</p>
<p>3. ĐƠN HÀNG 1200K TẶNG: Dung dịch tẩy trang mắt EXPRESS EYE MAKEUP REMOVER 100ML BOTTLE TRỊ GIÁ 289K. </p>
<p>&nbsp;</p>

<p><strong>THÔNG TIN CHI TIẾT SẢN PHẨM: </strong></p>
Phấn mắt đơn YVES ROCHER BOTANICAL COLOR MONO EYESHADOW 2,5G NACRÉ ROSE DAHLIA với kết cấu phấn thích nghi với mọi loại da, mang lại màu sắc rực rỡ, sống động. Đôi mắt của bạn trở nên lấp lánh chỉ trong một giây!","Apparel & Accessories","209000 VND","146300 VND",,,,
